X [m],Y [m],Z [m],Porosity,Volume [m^3],pH,pe,Total H+ [m],Total Ca++ [m],Total Na+ [m],Total K+ [m],Total Mg++ [m],Total CO3-- [m],Total Cl- [m],Total UO2++ [m],Total O2(aq) [m],Total H4(SiO4) [m],Total Fe++ [m],Total Al+++ [m],Total SO4-- [m],Smectite_MX80 VF [m^3 mnrl/m^3 bulk],InertMineral VF [m^3 mnrl/m^3 bulk],Quartz VF [m^3 mnrl/m^3 bulk],Gypsum VF [m^3 mnrl/m^3 bulk],Pyrite VF [m^3 mnrl/m^3 bulk],Calcite VF [m^3 mnrl/m^3 bulk],Dolomite VF [m^3 mnrl/m^3 bulk],Siderite VF [m^3 mnrl/m^3 bulk],Uraninite VF [m^3 mnrl/m^3 bulk],Smectite_MX80 Rate [mol/m^3/sec],InertMineral Rate [mol/m^3/sec],Quartz Rate [mol/m^3/sec],Gypsum Rate [mol/m^3/sec],Pyrite Rate [mol/m^3/sec],Calcite Rate [mol/m^3/sec],Dolomite Rate [mol/m^3/sec],Siderite Rate [mol/m^3/sec],Uraninite Rate [mol/m^3/sec],Total Sorbed H+ [mol/m^3],Total Sorbed Ca++ [mol/m^3],Total Sorbed Na+ [mol/m^3],Total Sorbed K+ [mol/m^3],Total Sorbed Mg++ [mol/m^3],Total Sorbed CO3-- [mol/m^3],Total Sorbed Cl- [mol/m^3],Total Sorbed UO2++ [mol/m^3],Total Sorbed O2(aq) [mol/m^3],Total Sorbed H4(SiO4) [mol/m^3],Total Sorbed Fe++ [mol/m^3],Total Sorbed Al+++ [mol/m^3],Total Sorbed SO4-- [mol/m^3],Material ID
2.997331125,-9.750256875,0.0,0.2044799,0.02108006,6.979927,1.696421,0.002294511,0.02221145,0.1002127,0.001055217,0.009107819,0.002045212,0.1463676,6.168824e-13,1.200269e-06,0.0001819701,3.346896e-05,1.002671e-16,0.007938947,0.0,0.46039,0.10673,0.0,0.0,0.2284001,0.0,0.0,0.0,0.0,0.0,1.69154e-20,0.0,0.0,3.752307e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.8625661250000003,-9.739666999999999,0.0,0.2044799,0.0224361,6.980256,1.687599,0.002293019,0.02221451,0.100367,0.001057838,0.009112843,0.002043995,0.1465257,6.3388e-13,1.180661e-06,0.0001819701,3.348937e-05,1.002671e-16,0.007947666,0.0,0.46039,0.10673,0.0,0.0,0.2284001,0.0,0.0,0.0,0.0,0.0,2.530066e-20,0.0,0.0,3.957048e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.9599936249999996,-9.618812499999999,0.0,0.2044799,0.02318641,6.980015,1.698557,0.002294151,0.02221268,0.1002653,0.001056239,0.009110079,0.002044965,0.1464229,6.208002e-13,1.205536e-06,0.0001819701,3.347257e-05,1.002671e-16,0.007941869,0.0,0.46039,0.10673,0.0,0.0,0.2284001,0.0,0.0,0.0,0.0,0.0,1.845276e-20,0.0,0.0,4.406555e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.8517031250000002,-9.499039625,0.0,0.2044799,0.03943189,6.980237,1.698129,0.002293184,0.0222154,0.1003849,0.001058431,0.009114714,0.002044233,0.1465474,6.316148e-13,1.205165e-06,0.0001819701,3.348427e-05,1.002671e-16,0.007948556,0.0,0.46039,0.10673,0.0,0.0,0.2284001,0.0,0.0,0.0,0.0,0.0,2.353725e-20,0.0,0.0,4.54972e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.7158965000000004,-9.681603375000002,0.0,0.2044799,0.04237457,6.98061,1.677969,0.002291394,0.02221839,0.1005372,0.001060738,0.009118658,0.002042669,0.1467017,6.525144e-13,1.159527e-06,0.0001819701,3.351189e-05,1.002671e-16,0.007957249,0.0,0.46039,0.10673,0.0,0.0,0.2284001,0.0,0.0,0.0,0.0,0.0,3.563274e-20,0.0,0.0,4.646702e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.9213918749999999,-9.3667895,0.0,0.2044798,0.08077264,6.982522,1.595633,0.002281946,0.0222498,0.1014985,0.001076601,0.009154263,0.0020347,0.1477211,7.644955e-13,9.883948e-07,0.0001819701,3.365642e-05,1.002671e-16,0.008011011,0.0,0.46039,0.10673,0.0,0.0,0.2284002,0.0,0.0,0.0,0.0,0.0,1.613582e-19,0.0,0.0,4.345749e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.1659696250000002,-9.374927749999998,0.0,0.2044798,0.08522143,6.981917,1.632834,0.002285088,0.02223856,0.1011998,0.001071902,0.009143297,0.002037439,0.1474013,7.26502e-13,1.063543e-06,0.0001819701,3.360485e-05,1.002671e-16,0.007994301,0.0,0.46039,0.10673,0.0,0.0,0.2284002,0.0,0.0,0.0,0.0,0.0,1.040878e-19,0.0,0.0,4.033249e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.376835625,-9.470505875,0.0,0.2044799,0.0634547,6.981418,1.653346,0.002287559,0.02222995,0.1009442,0.001067656,0.009133601,0.002039517,0.1471293,6.97166e-13,1.106576e-06,0.0001819701,3.356705e-05,1.002671e-16,0.00798003,0.0,0.46039,0.10673,0.0,0.0,0.2284001,0.0,0.0,0.0,0.0,0.0,7.108875e-20,0.0,0.0,4.258772e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.8911224999999998,-9.652403125000001,0.0,0.2044798,0.04698567,6.982717,1.551015,0.002280687,0.02225083,0.1015194,0.001076036,0.009151862,0.002033343,0.1477387,7.807975e-13,9.032535e-07,0.0001819701,3.36828e-05,1.002671e-16,0.008012444,0.0,0.46039,0.10673,0.0,0.0,0.2284002,0.0,0.0,0.0,0.0,0.0,2.062748e-19,0.0,0.0,3.892394e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.08344475,-9.6600565,0.0,0.2044798,0.04693493,6.982212,1.592232,0.002283399,0.02224137,0.1012842,0.001072548,0.009143733,0.002035772,0.1474863,7.475556e-13,9.81e-07,0.0001819701,3.363675e-05,1.002671e-16,0.007999244,0.0,0.46039,0.10673,0.0,0.0,0.2284002,0.0,0.0,0.0,0.0,0.0,1.399355e-19,0.0,0.0,4.398089e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
