X [m],Y [m],Z [m],Porosity,Volume [m^3],pH,pe,Total H+ [m],Total Ca++ [m],Total Na+ [m],Total K+ [m],Total Mg++ [m],Total CO3-- [m],Total Cl- [m],Total UO2++ [m],Total O2(aq) [m],Total H4(SiO4) [m],Total Fe++ [m],Total Al+++ [m],Total SO4-- [m],Smectite_MX80 VF [m^3 mnrl/m^3 bulk],InertMineral VF [m^3 mnrl/m^3 bulk],Quartz VF [m^3 mnrl/m^3 bulk],Gypsum VF [m^3 mnrl/m^3 bulk],Pyrite VF [m^3 mnrl/m^3 bulk],Calcite VF [m^3 mnrl/m^3 bulk],Dolomite VF [m^3 mnrl/m^3 bulk],Siderite VF [m^3 mnrl/m^3 bulk],Uraninite VF [m^3 mnrl/m^3 bulk],Smectite_MX80 Rate [mol/m^3/sec],InertMineral Rate [mol/m^3/sec],Quartz Rate [mol/m^3/sec],Gypsum Rate [mol/m^3/sec],Pyrite Rate [mol/m^3/sec],Calcite Rate [mol/m^3/sec],Dolomite Rate [mol/m^3/sec],Siderite Rate [mol/m^3/sec],Uraninite Rate [mol/m^3/sec],Total Sorbed H+ [mol/m^3],Total Sorbed Ca++ [mol/m^3],Total Sorbed Na+ [mol/m^3],Total Sorbed K+ [mol/m^3],Total Sorbed Mg++ [mol/m^3],Total Sorbed CO3-- [mol/m^3],Total Sorbed Cl- [mol/m^3],Total Sorbed UO2++ [mol/m^3],Total Sorbed O2(aq) [mol/m^3],Total Sorbed H4(SiO4) [mol/m^3],Total Sorbed Fe++ [mol/m^3],Total Sorbed Al+++ [mol/m^3],Total Sorbed SO4-- [mol/m^3],Material ID
2.997331125,-9.750256875,0.0,0.2044799,0.02108006,6.985195,1.460742,0.002290204,0.02178974,0.09909405,0.001026282,0.008852928,0.002041489,0.1439245,5.770561e-13,7.635056e-07,0.0001819701,3.337e-05,1.002671e-16,0.007914532,0.0,0.46039,0.10673,0.0,0.0,0.2284001,0.0,0.0,0.0,0.0,-0.0,1.691617e-20,0.0,0.0,-6.942729e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.8625661250000003,-9.739666999999999,0.0,0.2044799,0.0224361,6.985711,1.453513,0.002288371,0.02178156,0.09923377,0.001028877,0.00885272,0.002040078,0.1440393,5.937867e-13,7.53303e-07,0.0001819701,3.338385e-05,1.002671e-16,0.007921319,0.0,0.46039,0.10673,0.0,0.0,0.2284001,0.0,0.0,0.0,0.0,-0.0,2.52986e-20,0.0,0.0,-7.0197e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.9599936249999996,-9.618812499999999,0.0,0.2044799,0.02318641,6.985322,1.46352,0.002289768,0.02178824,0.09913849,0.001027181,0.008853677,0.002041186,0.1439646,5.809149e-13,7.682216e-07,0.0001819701,3.337241e-05,1.002671e-16,0.007916722,0.0,0.46039,0.10673,0.0,0.0,0.2284001,0.0,0.0,0.0,0.0,-0.0,1.844968e-20,0.0,0.0,-6.130691e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.8517031250000002,-9.499039625,0.0,0.2044799,0.03943189,6.985659,1.464466,0.002288588,0.02178366,0.09924273,0.001029211,0.008854615,0.002040318,0.1440551,5.915648e-13,7.705205e-07,0.0001819701,3.338031e-05,1.002671e-16,0.007921813,0.0,0.46039,0.10673,0.0,0.0,0.2284001,0.0,0.0,0.0,0.0,-0.0,2.353802e-20,0.0,0.0,-6.156861e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.7158965000000004,-9.681603375000002,0.0,0.2044799,0.04237457,6.986267,1.44573,0.002286373,0.02177322,0.09938735,0.001031741,0.008852822,0.002038539,0.1441675,6.121366e-13,7.424477e-07,0.0001819701,3.339916e-05,1.002671e-16,0.007928721,0.0,0.46039,0.10673,0.0,0.0,0.2284001,0.0,0.0,0.0,0.0,-0.0,3.563299e-20,0.0,0.0,-6.349288e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.9213918749999999,-9.3667895,0.0,0.2044798,0.08077264,6.989382,1.375407,0.002274667,0.02173345,0.1002592,0.001047819,0.008856028,0.002029319,0.1449188,7.2255e-13,6.465513e-07,0.0001819701,3.349837e-05,1.002671e-16,0.007969613,0.0,0.46039,0.10673,0.0,0.0,0.2284002,0.0,0.0,0.0,0.0,-0.0,1.61359e-19,0.0,0.0,-9.014774e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.1659696250000002,-9.374927749999998,0.0,0.2044798,0.08522143,6.988368,1.408646,0.00227858,0.02174586,0.0999842,0.001042861,0.008855448,0.002032467,0.1446816,6.850717e-13,6.913606e-07,0.0001819701,3.34628e-05,1.002671e-16,0.007956926,0.0,0.46039,0.10673,0.0,0.0,0.2284002,0.0,0.0,0.0,0.0,-0.0,1.040922e-19,0.0,0.0,-8.918561e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.376835625,-9.470505875,0.0,0.2044799,0.0634547,6.987555,1.425911,0.002281643,0.02175588,0.09975319,0.001038582,0.008854282,0.002034875,0.1444809,6.561415e-13,7.151069e-07,0.0001819701,3.343684e-05,1.002671e-16,0.007946108,0.0,0.46039,0.10673,0.0,0.0,0.2284001,0.0,0.0,0.0,0.0,-0.0,7.10926e-20,0.0,0.0,-7.846363e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.8911224999999998,-9.652403125000001,0.0,0.2044798,0.04698567,6.989772,1.330292,0.002273061,0.0217251,0.1002985,0.001048054,0.008850951,0.002027841,0.1449317,7.386071e-13,5.88237e-07,0.0001819701,3.351661e-05,1.002671e-16,0.007971018,0.0,0.46039,0.10673,0.0,0.0,0.2284002,0.0,0.0,0.0,0.0,-0.0,2.062773e-19,0.0,0.0,-1.020474e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.08344475,-9.6600565,0.0,0.2044798,0.04693493,6.988907,1.368538,0.002276452,0.02173605,0.1000776,0.001044178,0.00885144,0.002030616,0.1447443,7.058138e-13,6.363543e-07,0.0001819701,3.34848e-05,1.002671e-16,0.007960986,0.0,0.46039,0.10673,0.0,0.0,0.2284002,0.0,0.0,0.0,0.0,-0.0,1.399363e-19,0.0,0.0,-8.610679e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
