X [m],Y [m],Z [m],Porosity,Volume [m^3],pH,pe,Total H+ [m],Total Ca++ [m],Total Na+ [m],Total K+ [m],Total Mg++ [m],Total CO3-- [m],Total Cl- [m],Total UO2++ [m],Total O2(aq) [m],Total H4(SiO4) [m],Total Fe++ [m],Total Al+++ [m],Total SO4-- [m],Smectite_MX80 VF [m^3 mnrl/m^3 bulk],InertMineral VF [m^3 mnrl/m^3 bulk],Quartz VF [m^3 mnrl/m^3 bulk],Gypsum VF [m^3 mnrl/m^3 bulk],Pyrite VF [m^3 mnrl/m^3 bulk],Calcite VF [m^3 mnrl/m^3 bulk],Dolomite VF [m^3 mnrl/m^3 bulk],Siderite VF [m^3 mnrl/m^3 bulk],Uraninite VF [m^3 mnrl/m^3 bulk],Smectite_MX80 Rate [mol/m^3/sec],InertMineral Rate [mol/m^3/sec],Quartz Rate [mol/m^3/sec],Gypsum Rate [mol/m^3/sec],Pyrite Rate [mol/m^3/sec],Calcite Rate [mol/m^3/sec],Dolomite Rate [mol/m^3/sec],Siderite Rate [mol/m^3/sec],Uraninite Rate [mol/m^3/sec],Total Sorbed H+ [mol/m^3],Total Sorbed Ca++ [mol/m^3],Total Sorbed Na+ [mol/m^3],Total Sorbed K+ [mol/m^3],Total Sorbed Mg++ [mol/m^3],Total Sorbed CO3-- [mol/m^3],Total Sorbed Cl- [mol/m^3],Total Sorbed UO2++ [mol/m^3],Total Sorbed O2(aq) [mol/m^3],Total Sorbed H4(SiO4) [mol/m^3],Total Sorbed Fe++ [mol/m^3],Total Sorbed Al+++ [mol/m^3],Total Sorbed SO4-- [mol/m^3],Material ID
2.997331125,-9.750256875,0.0,0.2044799,0.02108006,6.967688,2.942974,0.002323375,0.02440438,0.1226705,0.001519729,0.01116947,0.002090446,0.1752792,8.132019e-13,6.206539e-06,0.0001819701,3.467876e-05,1.002671e-16,0.009145775,0.0,0.46039,0.10673,0.0,0.0,0.2284001,0.0,0.0,0.0,0.0,-0.0,1.691437e-20,0.0,0.0,-4.83528e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.8625661250000003,-9.739666999999999,0.0,0.2044799,0.0224361,6.967567,2.900033,0.002323322,0.0244377,0.1230004,0.001523921,0.01119526,0.002089766,0.1756903,8.301879e-13,6.039558e-06,0.0001819701,3.476479e-05,1.002671e-16,0.009167079,0.0,0.46039,0.10673,0.0,0.0,0.2284001,0.0,0.0,0.0,0.0,-0.0,2.529937e-20,0.0,0.0,-4.47044e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.9599936249999996,-9.618812499999999,0.0,0.2044799,0.02318641,6.967689,2.939451,0.002323323,0.02441328,0.1227923,0.001521822,0.01117828,0.00209038,0.1754237,8.170925e-13,6.194265e-06,0.0001819701,3.46956e-05,1.002671e-16,0.009153232,0.0,0.46039,0.10673,0.0,0.0,0.2284001,0.0,0.0,0.0,0.0,-0.0,1.845122e-20,0.0,0.0,-4.327275e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.8517031250000002,-9.499039625,0.0,0.2044799,0.03943189,6.967647,2.919811,0.002323243,0.02443598,0.1230587,0.00152588,0.01119824,0.002090057,0.1757467,8.278613e-13,6.119875e-06,0.0001819701,3.474678e-05,1.002671e-16,0.009169928,0.0,0.46039,0.10673,0.0,0.0,0.2284001,0.0,0.0,0.0,0.0,-0.0,2.353571e-20,0.0,0.0,-4.187959e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.7158965000000004,-9.681603375000002,0.0,0.2044799,0.04237457,6.967435,2.855144,0.002323268,0.02447428,0.1233639,0.00152856,0.01122367,0.002089023,0.1761431,8.487787e-13,5.856748e-06,0.0001819701,3.485922e-05,1.002671e-16,0.009190523,0.0,0.46039,0.10673,0.0,0.0,0.2284001,0.0,0.0,0.0,0.0,-0.0,3.563094e-20,0.0,0.0,-3.967823e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.9213918749999999,-9.3667895,0.0,0.2044799,0.08077264,6.96651,2.588374,0.002323195,0.02468912,0.125359,0.001551759,0.01138288,0.002084179,0.1786594,9.599998e-13,4.62845e-06,0.0001819701,3.544528e-05,1.002671e-16,0.009320679,0.0,0.46039,0.10673,0.0,0.0,0.2284001,0.0,0.0,0.0,0.0,-0.0,1.613413e-19,0.0,0.0,-3.636082e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.1659696250000002,-9.374927749999998,0.0,0.2044799,0.08522143,6.966873,2.683965,0.002323142,0.02461824,0.1247574,0.001545745,0.01133354,0.002085972,0.1778874,9.223076e-13,5.091197e-06,0.0001819701,3.524067e-05,1.002671e-16,0.009280733,0.0,0.46039,0.10673,0.0,0.0,0.2284001,0.0,0.0,0.0,0.0,-0.0,1.040801e-19,0.0,0.0,-3.508311e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.376835625,-9.470505875,0.0,0.2044799,0.0634547,6.967111,2.752406,0.002323166,0.02456172,0.1242262,0.001539457,0.01129128,0.002087226,0.1772188,8.931927e-13,5.409042e-06,0.0001819701,3.508742e-05,1.002671e-16,0.009246166,0.0,0.46039,0.10673,0.0,0.0,0.2284001,0.0,0.0,0.0,0.0,-0.0,7.108361e-20,0.0,0.0,-3.841592e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.8911224999999998,-9.652403125000001,0.0,0.2044798,0.04698567,6.966195,2.522139,0.002323427,0.0247125,0.1253532,0.001547851,0.01138743,0.002082958,0.1787034,9.764051e-13,4.299013e-06,0.0001819701,3.554472e-05,1.002671e-16,0.009323155,0.0,0.46039,0.10673,0.0,0.0,0.2284002,0.0,0.0,0.0,0.0,-0.0,2.06256e-19,0.0,0.0,-2.981064e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.08344475,-9.6600565,0.0,0.2044799,0.04693493,6.96655,2.610074,0.002323328,0.02465215,0.1248894,0.001544127,0.01134818,0.002084623,0.178096,9.433935e-13,4.732826e-06,0.0001819701,3.53635e-05,1.002671e-16,0.009291691,0.0,0.46039,0.10673,0.0,0.0,0.2284001,0.0,0.0,0.0,0.0,-0.0,1.399253e-19,0.0,0.0,-3.191963e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
