,x2,x4,y
164,1678.0,0.01,0.022124961
165,1684.0,0.01,0.02207919
166,1690.0,0.01,0.022033315
167,1696.0,0.01,0.021987328
168,1702.0,0.01,0.021941226
169,1708.0,0.01,0.021895004
170,1714.0,0.01,0.021848653
171,1720.0,0.01,0.021802168
172,1726.0,0.01,0.021755543
173,1732.0,0.01,0.02170877
174,1738.0,0.01,0.021661842
175,1744.0,0.01,0.021614755
176,1750.0,0.01,0.021567501
177,1756.0,0.01,0.021520067
178,1762.0,0.01,0.021472456
179,1768.0,0.01,0.02142465
180,1774.0,0.01,0.021376647
181,1780.0,0.01,0.02132844
182,1786.0,0.01,0.021280017
183,1792.0,0.01,0.021231372
184,1798.0,0.01,0.0211825
185,1804.0,0.01,0.02113339
186,1810.0,0.01,0.02108403
187,1816.0,0.01,0.021034414
188,1822.0,0.01,0.020984536
189,1828.0,0.01,0.020934386
190,1834.0,0.01,0.020883957
191,1840.0,0.01,0.020833233
192,1846.0,0.01,0.020782214
193,1852.0,0.01,0.020730883
194,1858.0,0.01,0.020679237
195,1864.0,0.01,0.020627268
196,1870.0,0.01,0.02057496
197,1876.0,0.01,0.020522308
198,1882.0,0.01,0.020469302
199,1888.0,0.01,0.020415934
200,1894.0,0.01,0.020362193
201,1900.0,0.01,0.02030807
202,1300.0,0.02,0.02471968
203,1306.0,0.02,0.02467797
204,1312.0,0.02,0.02463606
205,1318.0,0.02,0.024593964
206,1324.0,0.02,0.024551688
207,1330.0,0.02,0.024509238
208,1336.0,0.02,0.024466623
209,1342.0,0.02,0.024423847
210,1348.0,0.02,0.02438092
211,1354.0,0.02,0.024337847
212,1360.0,0.02,0.024294637
213,1366.0,0.02,0.024251295
214,1372.0,0.02,0.024207827
215,1378.0,0.02,0.02416424
216,1384.0,0.02,0.024120541
217,1390.0,0.02,0.024076732
218,1396.0,0.02,0.024032822
219,1402.0,0.02,0.023988817
220,1408.0,0.02,0.02394472
221,1414.0,0.02,0.023900535
222,1420.0,0.02,0.023856273
223,1426.0,0.02,0.02381193
224,1432.0,0.02,0.023767518
225,1438.0,0.02,0.023723038
226,1444.0,0.02,0.023678495
227,1450.0,0.02,0.023633894
228,1456.0,0.02,0.023589235
229,1462.0,0.02,0.023544526
230,1468.0,0.02,0.023499766
231,1474.0,0.02,0.023454964
232,1480.0,0.02,0.023410117
233,1486.0,0.02,0.02336523
234,1492.0,0.02,0.023320306
235,1498.0,0.02,0.023275347
236,1504.0,0.02,0.023230355
237,1510.0,0.02,0.023185333
238,1516.0,0.02,0.023140278
239,1522.0,0.02,0.023095198
240,1528.0,0.02,0.023050092
241,1534.0,0.02,0.023004958
242,1540.0,0.02,0.0229598
243,1546.0,0.02,0.022914618
244,1552.0,0.02,0.02286941
245,1558.0,0.02,0.02282418
246,1564.0,0.02,0.022778923
247,1570.0,0.02,0.022733644
248,1576.0,0.02,0.022688339
249,1582.0,0.02,0.022643007
250,1588.0,0.02,0.022597646
251,1594.0,0.02,0.02255226
252,1600.0,0.02,0.022506839
253,1606.0,0.02,0.022461392
254,1612.0,0.02,0.022415908
255,1618.0,0.02,0.022370389
256,1624.0,0.02,0.02232483
257,1630.0,0.02,0.02227923
258,1636.0,0.02,0.022233587
259,1642.0,0.02,0.022187898
260,1648.0,0.02,0.022142155
261,1654.0,0.02,0.02209636
262,1660.0,0.02,0.022050507
263,1666.0,0.02,0.022004593
264,1672.0,0.02,0.021958612
265,1678.0,0.02,0.021912562
266,1684.0,0.02,0.021866435
267,1690.0,0.02,0.02182023
268,1696.0,0.02,0.021773942
269,1702.0,0.02,0.02172756
270,1708.0,0.02,0.021681087
271,1714.0,0.02,0.02163451
272,1720.0,0.02,0.02158783
273,1726.0,0.02,0.021541033
274,1732.0,0.02,0.021494122
275,1738.0,0.02,0.021447083
276,1744.0,0.02,0.021399913
277,1750.0,0.02,0.021352608
278,1756.0,0.02,0.021305157
279,1762.0,0.02,0.021257557
280,1768.0,0.02,0.021209797
281,1774.0,0.02,0.021161867
282,1780.0,0.02,0.02111377
283,1786.0,0.02,0.021065492
284,1792.0,0.02,0.021017026
285,1798.0,0.02,0.020968365
286,1804.0,0.02,0.020919502
287,1810.0,0.02,0.020870427
288,1816.0,0.02,0.02082113
289,1822.0,0.02,0.02077161
290,1828.0,0.02,0.020721853
291,1834.0,0.02,0.020671854
292,1840.0,0.02,0.020621601
293,1846.0,0.02,0.020571088
294,1852.0,0.02,0.020520307
295,1858.0,0.02,0.020469248
296,1864.0,0.02,0.020417903
297,1870.0,0.02,0.020366265
298,1876.0,0.02,0.020314319
299,1882.0,0.02,0.020262063
300,1888.0,0.02,0.020209488
301,1894.0,0.02,0.02015658
302,1900.0,0.02,0.020103332
303,1300.0,0.03,0.024555514
304,1306.0,0.03,0.024512863
305,1312.0,0.03,0.024470016
306,1318.0,0.03,0.02442698
307,1324.0,0.03,0.024383765
308,1330.0,0.03,0.024340376
309,1336.0,0.03,0.024296824
310,1342.0,0.03,0.024253111
311,1348.0,0.03,0.024209248
312,1354.0,0.03,0.024165237
313,1360.0,0.03,0.02412109
314,1366.0,0.03,0.024076816
315,1372.0,0.03,0.024032412
316,1378.0,0.03,0.023987893
317,1384.0,0.03,0.02394326
318,1390.0,0.03,0.023898521
319,1396.0,0.03,0.023853682
320,1402.0,0.03,0.023808748
321,1408.0,0.03,0.023763724
322,1414.0,0.03,0.023718618
323,1420.0,0.03,0.023673432
324,1426.0,0.03,0.023628172
325,1432.0,0.03,0.023582842
326,1438.0,0.03,0.023537448
327,1444.0,0.03,0.023491995
328,1450.0,0.03,0.023446485
329,1456.0,0.03,0.023400927
330,1462.0,0.03,0.023355316
331,1468.0,0.03,0.023309663
332,1474.0,0.03,0.023263969
333,1480.0,0.03,0.023218237
334,1486.0,0.03,0.023172472
335,1492.0,0.03,0.023126673
336,1498.0,0.03,0.023080848
337,1504.0,0.03,0.023034994
338,1510.0,0.03,0.022989118
339,1516.0,0.03,0.02294322
340,1522.0,0.03,0.022897301
341,1528.0,0.03,0.022851363
342,1534.0,0.03,0.02280541
343,1540.0,0.03,0.022759438
344,1546.0,0.03,0.022713453
345,1552.0,0.03,0.022667455
346,1558.0,0.03,0.022621442
347,1564.0,0.03,0.022575414
348,1570.0,0.03,0.022529377
349,1576.0,0.03,0.022483325
350,1582.0,0.03,0.02243726
351,1588.0,0.03,0.02239118
352,1594.0,0.03,0.022345085
353,1600.0,0.03,0.022298975
354,1606.0,0.03,0.022252848
355,1612.0,0.03,0.022206703
356,1618.0,0.03,0.022160538
357,1624.0,0.03,0.02211435
358,1630.0,0.03,0.02206814
359,1636.0,0.03,0.0220219
360,1642.0,0.03,0.021975635
361,1648.0,0.03,0.021929335
362,1654.0,0.03,0.021883003
363,1660.0,0.03,0.021836633
364,1666.0,0.03,0.021790221
365,1672.0,0.03,0.021743765
366,1678.0,0.03,0.02169726
367,1684.0,0.03,0.021650702
