,x2,x4,y
0,1300.0,0.0,3.8187776
1,1306.0,0.0,3.8486006
2,1312.0,0.0,3.878499
3,1318.0,0.0,3.908466
4,1324.0,0.0,3.9384956
5,1330.0,0.0,3.9685802
6,1336.0,0.0,3.9987128
7,1342.0,0.0,4.0288863
8,1348.0,0.0,4.0590944
9,1354.0,0.0,4.0893273
10,1360.0,0.0,4.1195793
11,1366.0,0.0,4.1498423
12,1372.0,0.0,4.1801076
13,1378.0,0.0,4.210368
14,1384.0,0.0,4.2406144
15,1390.0,0.0,4.2708387
16,1396.0,0.0,4.3010325
17,1402.0,0.0,4.331186
18,1408.0,0.0,4.3612914
19,1414.0,0.0,4.39134
20,1420.0,0.0,4.4213204
21,1426.0,0.0,4.451225
22,1432.0,0.0,4.481043
23,1438.0,0.0,4.5107646
24,1444.0,0.0,4.54038
25,1450.0,0.0,4.569879
26,1456.0,0.0,4.5992503
27,1462.0,0.0,4.6284833
28,1468.0,0.0,4.657567
29,1474.0,0.0,4.6864896
30,1480.0,0.0,4.7152405
31,1486.0,0.0,4.743806
32,1492.0,0.0,4.772174
33,1498.0,0.0,4.8003325
34,1504.0,0.0,4.8282685
35,1510.0,0.0,4.8559685
36,1516.0,0.0,4.8834167
37,1522.0,0.0,4.9106016
38,1528.0,0.0,4.937506
39,1534.0,0.0,4.964115
40,1540.0,0.0,4.9904127
41,1546.0,0.0,5.0163836
42,1552.0,0.0,5.042009
43,1558.0,0.0,5.0672708
44,1564.0,0.0,5.092151
45,1570.0,0.0,5.116631
46,1576.0,0.0,5.1406894
47,1582.0,0.0,5.164305
48,1588.0,0.0,5.187457
49,1594.0,0.0,5.210121
50,1600.0,0.0,5.2322745
51,1606.0,0.0,5.253891
52,1612.0,0.0,5.2749457
53,1618.0,0.0,5.2954106
54,1624.0,0.0,5.315257
55,1630.0,0.0,5.3344555
56,1636.0,0.0,5.3529754
57,1642.0,0.0,5.370784
58,1648.0,0.0,5.387847
59,1654.0,0.0,5.404129
60,1660.0,0.0,5.419595
61,1666.0,0.0,5.434205
62,1672.0,0.0,5.4479203
63,1678.0,0.0,5.4606996
64,1684.0,0.0,5.4725003
65,1690.0,0.0,5.483279
66,1696.0,0.0,5.49299
67,1702.0,0.0,5.501586
68,1708.0,0.0,5.50902
69,1714.0,0.0,5.5152426
70,1720.0,0.0,5.520203
71,1726.0,0.0,5.5238504
72,1732.0,0.0,5.5261326
73,1738.0,0.0,5.5269976
74,1744.0,0.0,5.5263925
75,1750.0,0.0,5.524264
76,1756.0,0.0,5.5205584
