Porous_Media,Residually_Trapped,Fractured_Rock
219.3098703,11.94287618,3.705884934
222.5188689,12.29260216,0
222.947818,11.92304381,4.47E-07
222.9451152,14.06434015,0
219.9746901,13.41985922,2.543822387
209.4690318,9.218656927,13.02641181
204.1114946,9.227252455,18.90305128
222.9289641,14.78864432,0
215.4694931,13.12553335,7.528510347
197.1841948,8.673502786,25.78061701
222.53306,16.60803339,0.489738141
203.4063068,9.260200513,19.09867567
222.5229282,15.43817569,0
203.4787721,9.511186467,19.53390546
222.8554458,13.22135623,0
222.8235182,14.13108527,0
190.0560517,10.88400347,32.57897213
223.0215723,16.69236662,0
209.8734024,10.46600121,13.13020848
221.0462687,7.650776155,1.867636041
173.8784017,5.300360728,49.12375148
222.8708327,12.56523163,0.052069246
222.9690659,12.84268128,0.025795632
222.5079412,12.41739158,0
175.3869361,8.205386988,47.61773015
157.2310872,6.495475993,65.7539647
176.8991402,9.723583652,46.12330152
209.9112812,8.609952376,13.01917285
220.3690505,11.43896212,2.620797194
222.8349523,14.06700492,0
222.526258,16.20835285,0
202.903579,13.30263432,20.13234984
201.0821733,11.27699005,21.94533682
220.2664267,10.41449926,2.696452826
222.506305,12.86599615,3.90E-06
222.5263011,15.01522998,0
188.5168437,8.054460437,34.45957813
222.9080485,11.78041857,0
222.9542303,13.72459546,0
222.9439304,15.23238718,0
222.5205816,10.92357084,0
203.9708516,10.16000698,18.99712753
222.8619929,11.35128406,0.146095602
204.3716366,9.442414495,18.12675031
216.9152392,9.42179698,6.061848394
209.7454157,8.609315506,12.74138295
217.6236893,14.45478606,5.408325833
222.9351377,13.77482718,0
211.1021908,12.19343807,11.92022939
222.5352545,16.69500616,0
222.9931165,13.71637242,3.32E-07
219.3355837,10.34456061,3.643451743
222.5107369,14.47057526,0
222.9544778,16.75434643,0
174.6089435,10.13706538,48.41388955
222.5406505,16.33095479,0
222.9073785,11.5131554,2.03E-06
179.0312855,5.076628024,43.87004789
177.730115,8.138461733,45.25051954
222.5155196,13.05082743,0
194.4261083,7.601520233,28.53535468
184.3308159,7.721685743,38.68570396
213.3895815,9.82257924,9.113927907
220.2023932,9.037196834,2.713800505
170.0311552,7.301394343,52.93360062
222.5819769,11.4988057,0
222.7525179,12.82479187,0.266232159
222.9240838,13.58638326,0
222.8739689,13.06483563,0.130808717
222.9338247,14.29146873,0
222.5042019,12.0778272,0
222.5295281,14.42792718,0
222.5165488,12.76960211,0
184.304785,7.277312835,38.69753957
188.8838053,6.943059766,34.10336219
174.1428042,5.274526954,48.79170897
174.9399049,6.758006156,48.02642529
222.8617788,15.01173547,0
222.6202618,8.971606872,2.44E-08
222.532669,15.6382272,5.04E-05
154.0581005,5.604190382,68.87250101
220.3256104,14.85530794,2.701298126
222.9005005,11.88398865,0.043588913
184.4002088,6.95171173,38.56092451
221.1850141,13.01406734,1.827528217
222.5195993,16.36262579,0
213.991001,7.600823382,8.654997835
162.6634212,6.741476092,60.30129337
186.1690163,7.829552024,36.84891221
222.5488336,11.94084942,0
