Aqueous UO2++ in Granite,Aqueous UO2++ in Bentonite,Adsorbed UO2++ in Bentonite
6.176479817375234e-11,6.913401319778226e-13,2.323796100844344e-08
6.237569243887373e-11,6.917024196927672e-13,2.326457431299886e-08
6.29819961557406e-11,6.921181727379164e-13,2.329341059612295e-08
6.358414362291663e-11,6.9266057014036e-13,2.332641010358501e-08
6.418226294157229e-11,6.931644160924544e-13,2.335829720752038e-08
6.477627074821678e-11,6.93688877676443e-13,2.339094206883978e-08
6.536612720941474e-11,6.941201615261237e-13,2.3420489444054463e-08
6.595153610082065e-11,6.944588407080227e-13,2.344691122172444e-08
6.653240627461839e-11,6.947802509886892e-13,2.347295456875849e-08
6.710879536880242e-11,6.950327276167586e-13,2.3496608085948138e-08
6.76805483621247e-11,6.95218890686412e-13,2.3518056121090563e-08
6.82476408489409e-11,6.953922559700381e-13,2.3539106538036758e-08
6.881018274958867e-11,6.955582604028202e-13,2.355990107627545e-08
